"Ca_processed_masked" "Cb_processed_masked" "HK_processed_masked" "β_processed_masked" "β+C_processed_masked" "β+γ+C_processed_masked" "γ_processed_masked" "γ+Ca_processed_masked" "γ+Cb_processed_masked" "γ+Cc-Cf_processed_masked"
"dicimus" 0.344017910773767 0.1579351754361 0.368539325842697 0.062134606151326 0.239808153477218 0.282096700124647 0.258178733448899 0.376789751318764 0.266478137916032 0.397490264954993
"modo" 0.322175503740512 0.273185168321903 0.152808988764045 0.160985115937526 0.265051117001136 0.313586564324608 0.228672592483311 0.173902962147122 0.220252338481618 0.244964930728077
"idest" 0.196581663299296 0.233345664608292 0.37752808988764 0.258894192297192 0.319744204636291 0.156137243324805 0.361450226828459 0.260854443220683 0.233848161844681 0.169857758570884
"illud" 0.212963468574237 0.176432087874562 0.368539325842697 0.204291053558148 0.147250620556187 0.310962408974611 0.169660310552134 0.191293258361834 0.16858820970198 0.275007799590955
"habet" 0.234805875607492 0.183546284966279 0.314606741573034 0.217471121529641 0.22297951112794 0.241422292199698 0.143842437207244 0.318822097269723 0.280073961279095 0.225321516471581
"ratione" 0.294872494948943 0.159358014854444 0.233707865168539 0.246655557752234 0.201943708191342 0.326707341074592 0.195478183897024 0.173902962147122 0.206656515118556 0.177946223264735
"propter" 0.365860317807022 0.278876525995276 0.341573033707865 0.228768322648064 0.210358029365981 0.182378796824772 0.228672592483311 0.197090023766738 0.165869045029367 0.195278647608703
"bonum" 0.365860317807022 0.220540109843203 0.467415730337079 0.262659926003333 0.130421978206908 0.265039690349669 0.118024563862354 0.0637644194539447 0.149554056993692 0.192967657696174
"dei" 0.245727079124119 0.197774679149711 0.197752808988764 0.258894192297192 0.0841432117463924 0.24798268057469 0.317191015380076 0.0463741232392325 0.122362410267566 0.251897900465664
"nisi" 0.245727079124119 0.204888876241427 0.143820224719101 0.192052419013189 0.22297951112794 0.244046447549695 0.173348578172832 0.295635035650107 0.174026539047205 0.212611071952671
"eo" 0.223884672090864 0.229077146353263 0.359550561797753 0.217471121529641 0.10938617527031 0.2401102145247 0.165972042931435 0.150715900527506 0.135958233630629 0.186034687958587
